dataId,Regiao,ano_agricola,uf,produto,area_plantada_mil_ha,producao_mil_t,produtividade_mil_ha_mil_t,temperatura,chuvas
19,Sudeste,2017,ES,MILHO,13,37,2846,23.5,2232
21,Sudeste,2018,ES,MILHO,13,40,3076,22.1,2280
65,Nordeste,2018,AL,MILHO,26,29,1115,27,536
68,Nordeste,2018,SE,MILHO,158,485,3069,27,536
72,Nordeste,2019,SE,MILHO,148,768,5189,21.1,512
94,Centro,2018,MS,MILHO,16,143,8937,22.6,2257
97,Centro,2019,DF,MILHO,38,278,7315,25.7,2257
98,Centro,2019,MS,MILHO,16,131,8187,25.7,2257
99,Centro,2019,MT,MILHO,37,262,7081,25.7,2257
105,Centro,2021,DF,MILHO,22,204,9272,23,2564
106,Centro,2021,DF,MILHO,38,163,4289,23,2564
108,Centro,2021,MT,MILHO,52,438,8423,23,2564
114,Centro,2017,MT,MILHO,33,256,7757,24.2,2322
152,Norte,2017,AM,MILHO,12,31,2583,24.3,1562
164,Norte,2018,PA,MILHO,168,552,3285,24.6,1694
174,Norte,2019,AP,MILHO,1,1,1000,26.8,1696
178,Norte,2019,RO,MILHO,179,900,5027,26.8,1696
185,Norte,2020,AP,MILHO,1,1,1000,24.1,1607
188,Norte,2020,RO,MILHO,12,35,2916,24.1,1607
189,Norte,2020,RO,MILHO,186,969,5209,24.1,1607
192,Norte,2020,TO,MILHO,241,1224,5078,24.1,1607
194,Norte,2021,AC,MILHO,5,13,2600,24.5,1698
197,Norte,2021,PA,MILHO,170,534,3141,24.5,1698
199,Norte,2021,RO,MILHO,13,41,3153,24.5,1698
200,Norte,2021,RO,MILHO,200,1038,5190,24.5,1698
201,Norte,2021,RR,MILHO,15,90,6000,24.5,1698
